 ,Area,Mean,Min,Max
1,5.111E-4,255,255,255
2,1.889E-4,255,255,255
3,4.778E-4,255,255,255
4,5.222E-4,255,255,255
5,1.111E-5,255,255,255
6,0.001,255,255,255
7,0.001,255,255,255
8,8.000E-4,255,255,255
9,9.111E-4,255,255,255
10,1.111E-5,255,255,255
11,9.778E-4,255,255,255
12,0.001,255,255,255
13,0.001,255,255,255
14,0.001,255,255,255
15,2.222E-5,255,255,255
16,1.111E-5,255,255,255
17,7.333E-4,255,255,255
18,9.222E-4,255,255,255
19,9.111E-4,255,255,255
20,0.001,255,255,255
21,0.001,255,255,255
22,1.111E-5,255,255,255
23,0.001,255,255,255
24,9.556E-4,255,255,255
25,7.444E-4,255,255,255
26,0.001,255,255,255
27,8.111E-4,255,255,255
28,0.001,255,255,255
29,9.333E-4,255,255,255
30,7.667E-4,255,255,255
31,0.001,255,255,255
32,0.001,255,255,255
33,1.111E-5,255,255,255
34,0.001,255,255,255
35,0.001,255,255,255
36,0.002,255,255,255
37,0.001,255,255,255
38,1.111E-5,255,255,255
39,1.111E-5,255,255,255
40,7.111E-4,255,255,255
41,9.667E-4,255,255,255
42,0.001,255,255,255
43,0.001,255,255,255
44,2.444E-4,255,255,255
45,0.001,255,255,255
46,7.889E-4,255,255,255
47,8.667E-4,255,255,255
48,0.002,255,255,255
49,0.001,255,255,255
50,0.001,255,255,255
51,0.001,255,255,255
52,2.222E-5,255,255,255
53,0.001,255,255,255
54,1.111E-5,255,255,255
55,0.001,255,255,255
56,2.222E-5,255,255,255
57,0.002,255,255,255
58,0.001,255,255,255
59,9.889E-4,255,255,255
60,1.111E-5,255,255,255
61,1.000E-4,255,255,255
62,4.444E-4,255,255,255
63,0.001,255,255,255
64,0.001,255,255,255
65,7.556E-4,255,255,255
66,0.001,255,255,255
67,0.001,255,255,255
68,0.001,255,255,255
69,0.002,255,255,255
70,0.001,255,255,255
71,1.111E-5,255,255,255
72,0.001,255,255,255
73,4.556E-4,255,255,255
74,8.556E-4,255,255,255
75,0.001,255,255,255
76,3.333E-5,255,255,255
77,1.111E-5,255,255,255
78,0.001,255,255,255
79,2.667E-4,255,255,255
80,3.667E-4,255,255,255
81,9.556E-4,255,255,255
82,5.222E-4,255,255,255
83,1.111E-5,255,255,255
84,9.111E-4,255,255,255
85,0.001,255,255,255
