 ,Area,Mean,Min,Max
1,2.889E-4,255,255,255
2,0.002,255,255,255
3,3.222E-4,255,255,255
4,0.002,255,255,255
5,0.002,255,255,255
6,1.778E-4,255,255,255
7,1.667E-4,255,255,255
8,0.001,255,255,255
9,9.000E-4,255,255,255
10,0.002,255,255,255
11,1.111E-5,255,255,255
12,0.001,255,255,255
13,0.002,255,255,255
14,2.111E-4,255,255,255
15,3.444E-4,255,255,255
16,1.556E-4,255,255,255
17,0.002,255,255,255
18,9.222E-4,255,255,255
19,0.002,255,255,255
20,2.111E-4,255,255,255
21,8.556E-4,255,255,255
22,1.556E-4,255,255,255
23,2.889E-4,255,255,255
24,0.001,255,255,255
25,0.002,255,255,255
26,0.001,255,255,255
27,0.001,255,255,255
28,1.111E-5,255,255,255
29,0.002,255,255,255
30,0.003,255,255,255
31,1.111E-5,255,255,255
32,8.889E-5,255,255,255
33,2.222E-5,255,255,255
34,3.111E-4,255,255,255
35,3.333E-5,255,255,255
36,1.889E-4,255,255,255
37,1.111E-5,255,255,255
38,0.002,255,255,255
39,0.002,255,255,255
40,0.002,255,255,255
41,8.778E-4,255,255,255
42,0.001,255,255,255
43,1.333E-4,255,255,255
44,0.002,255,255,255
45,0.002,255,255,255
46,2.667E-4,255,255,255
47,0.002,255,255,255
48,6.444E-4,255,255,255
49,1.333E-4,255,255,255
50,0.001,255,255,255
51,2.222E-4,255,255,255
52,2.333E-4,255,255,255
53,0.001,255,255,255
54,3.333E-4,255,255,255
55,0.001,255,255,255
56,0.002,255,255,255
57,0.001,255,255,255
58,3.444E-4,255,255,255
59,0.004,255,255,255
60,1.444E-4,255,255,255
61,7.111E-4,255,255,255
62,0.001,255,255,255
63,0.002,255,255,255
64,2.778E-4,255,255,255
65,0.001,255,255,255
66,0.002,255,255,255
67,2.222E-5,255,255,255
68,2.556E-4,255,255,255
69,0.002,255,255,255
70,0.002,255,255,255
71,0.001,255,255,255
72,1.778E-4,255,255,255
73,0.002,255,255,255
74,0.002,255,255,255
75,0.001,255,255,255
76,0.001,255,255,255
77,2.667E-4,255,255,255
78,0.003,255,255,255
79,9.556E-4,255,255,255
80,0.002,255,255,255
81,3.333E-5,255,255,255
82,0.001,255,255,255
83,1.889E-4,255,255,255
84,0.002,255,255,255
85,0.001,255,255,255
86,7.778E-5,255,255,255
87,0.002,255,255,255
88,1.222E-4,255,255,255
89,0.003,255,255,255
90,0.002,255,255,255
91,2.333E-4,255,255,255
92,0.001,255,255,255
93,0.002,255,255,255
94,0.002,255,255,255
95,8.889E-5,255,255,255
96,0.001,255,255,255
97,2.222E-4,255,255,255
98,0.002,255,255,255
99,0.002,255,255,255
100,2.889E-4,255,255,255
101,0.002,255,255,255
102,0.002,255,255,255
103,1.778E-4,255,255,255
104,0.001,255,255,255
105,0.002,255,255,255
106,0.002,255,255,255
107,0.002,255,255,255
108,2.444E-4,255,255,255
109,2.556E-4,255,255,255
110,0.002,255,255,255
111,1.889E-4,255,255,255
112,0.002,255,255,255
113,2.889E-4,255,255,255
114,2.111E-4,255,255,255
115,0.001,255,255,255
116,1.444E-4,255,255,255
117,3.000E-4,255,255,255
118,2.222E-4,255,255,255
119,1.667E-4,255,255,255
120,0.001,255,255,255
121,0.001,255,255,255
122,0.002,255,255,255
123,6.667E-5,255,255,255
124,0.001,255,255,255
125,0.001,255,255,255
126,3.778E-4,255,255,255
127,0.002,255,255,255
128,9.667E-4,255,255,255
129,0.002,255,255,255
130,0.002,255,255,255
131,3.000E-4,255,255,255
132,2.444E-4,255,255,255
133,1.667E-4,255,255,255
134,0.002,255,255,255
135,0.001,255,255,255
136,0.001,255,255,255
137,2.000E-4,255,255,255
138,0.002,255,255,255
139,1.000E-4,255,255,255
140,2.333E-4,255,255,255
141,0.002,255,255,255
142,1.556E-4,255,255,255
143,3.111E-4,255,255,255
144,0.002,255,255,255
145,0.002,255,255,255
146,0.002,255,255,255
147,0.001,255,255,255
148,3.111E-4,255,255,255
149,2.111E-4,255,255,255
150,0.003,255,255,255
151,0.002,255,255,255
152,0.001,255,255,255
153,0.001,255,255,255
154,9.333E-4,255,255,255
155,2.667E-4,255,255,255
156,0.002,255,255,255
157,0.001,255,255,255
158,2.333E-4,255,255,255
159,9.667E-4,255,255,255
160,0.001,255,255,255
161,1.111E-4,255,255,255
