 ,Area,Mean,Min,Max
1,2.778E-4,255,255,255
2,3.333E-5,255,255,255
3,2.889E-4,255,255,255
4,0.003,255,255,255
5,0.003,255,255,255
6,0.002,255,255,255
7,0.002,255,255,255
8,1.222E-4,255,255,255
9,0.002,255,255,255
10,0.002,255,255,255
11,0.002,255,255,255
12,0.002,255,255,255
13,0.002,255,255,255
14,0.002,255,255,255
15,0.002,255,255,255
16,0.003,255,255,255
17,0.001,255,255,255
18,0.002,255,255,255
19,0.002,255,255,255
20,1.889E-4,255,255,255
21,0.001,255,255,255
22,2.222E-5,255,255,255
23,1.667E-4,255,255,255
24,0.001,255,255,255
25,0.001,255,255,255
26,0.002,255,255,255
27,0.002,255,255,255
28,0.002,255,255,255
29,0.004,255,255,255
30,1.556E-4,255,255,255
31,9.556E-4,255,255,255
32,0.002,255,255,255
33,0.002,255,255,255
34,0.001,255,255,255
35,0.002,255,255,255
36,0.002,255,255,255
37,0.001,255,255,255
38,2.222E-4,255,255,255
39,0.008,255,255,255
40,1.111E-5,255,255,255
41,0.002,255,255,255
42,4.444E-5,255,255,255
43,0.002,255,255,255
44,2.333E-4,255,255,255
45,1.444E-4,255,255,255
46,1.111E-4,255,255,255
47,0.002,255,255,255
48,0.002,255,255,255
49,0.002,255,255,255
50,0.002,255,255,255
51,2.556E-4,255,255,255
52,3.222E-4,255,255,255
53,0.005,255,255,255
54,7.778E-5,255,255,255
55,2.333E-4,255,255,255
56,1.889E-4,255,255,255
57,1.000E-4,255,255,255
58,0.003,255,255,255
59,0.002,255,255,255
60,3.667E-4,255,255,255
61,0.002,255,255,255
62,3.667E-4,255,255,255
63,2.222E-4,255,255,255
64,4.444E-4,255,255,255
65,6.667E-5,255,255,255
66,0.002,255,255,255
67,5.556E-5,255,255,255
68,0.002,255,255,255
69,0.002,255,255,255
70,0.002,255,255,255
71,1.556E-4,255,255,255
72,4.222E-4,255,255,255
73,2.111E-4,255,255,255
74,0.002,255,255,255
75,1.111E-5,255,255,255
76,6.667E-5,255,255,255
77,5.556E-5,255,255,255
78,1.111E-5,255,255,255
79,0.002,255,255,255
80,3.000E-4,255,255,255
81,2.111E-4,255,255,255
82,0.002,255,255,255
83,1.556E-4,255,255,255
84,1.222E-4,255,255,255
85,0.002,255,255,255
86,0.002,255,255,255
87,1.000E-4,255,255,255
88,2.222E-4,255,255,255
89,1.444E-4,255,255,255
90,0.002,255,255,255
91,0.002,255,255,255
92,3.333E-4,255,255,255
93,1.111E-5,255,255,255
94,0.003,255,255,255
95,0.002,255,255,255
96,3.222E-4,255,255,255
97,0.002,255,255,255
98,0.002,255,255,255
99,0.002,255,255,255
100,0.002,255,255,255
101,0.002,255,255,255
102,2.667E-4,255,255,255
103,2.111E-4,255,255,255
104,3.333E-5,255,255,255
105,0.002,255,255,255
106,0.005,255,255,255
107,0.001,255,255,255
108,2.556E-4,255,255,255
109,0.002,255,255,255
110,1.222E-4,255,255,255
111,0.004,255,255,255
112,2.889E-4,255,255,255
113,0.002,255,255,255
114,0.002,255,255,255
115,1.444E-4,255,255,255
116,0.002,255,255,255
117,0.003,255,255,255
118,0.001,255,255,255
119,0.002,255,255,255
120,7.778E-5,255,255,255
121,0.002,255,255,255
122,0.002,255,255,255
123,0.002,255,255,255
124,3.222E-4,255,255,255
125,0.001,255,255,255
126,0.002,255,255,255
127,0.002,255,255,255
128,0.002,255,255,255
129,2.000E-4,255,255,255
130,0.002,255,255,255
131,0.002,255,255,255
132,1.222E-4,255,255,255
133,4.111E-4,255,255,255
134,0.002,255,255,255
135,0.003,255,255,255
136,0.001,255,255,255
137,2.778E-4,255,255,255
138,1.222E-4,255,255,255
139,0.003,255,255,255
140,1.111E-5,255,255,255
141,2.778E-4,255,255,255
142,2.222E-4,255,255,255
143,2.889E-4,255,255,255
144,3.778E-4,255,255,255
145,1.333E-4,255,255,255
146,1.444E-4,255,255,255
147,2.222E-4,255,255,255
148,0.002,255,255,255
149,2.111E-4,255,255,255
150,0.003,255,255,255
151,1.778E-4,255,255,255
152,0.002,255,255,255
153,0.001,255,255,255
154,0.002,255,255,255
155,3.111E-4,255,255,255
156,0.002,255,255,255
157,0.003,255,255,255
158,3.333E-5,255,255,255
159,1.778E-4,255,255,255
160,0.001,255,255,255
161,0.002,255,255,255
162,2.000E-4,255,255,255
163,5.000E-4,255,255,255
164,3.111E-4,255,255,255
165,2.333E-4,255,255,255
166,0.001,255,255,255
167,0.002,255,255,255
168,0.001,255,255,255
169,1.000E-4,255,255,255
170,0.001,255,255,255
171,0.002,255,255,255
172,8.889E-5,255,255,255
173,0.003,255,255,255
174,0.002,255,255,255
175,0.003,255,255,255
176,0.001,255,255,255
177,0.002,255,255,255
178,0.001,255,255,255
179,0.002,255,255,255
180,7.778E-5,255,255,255
181,4.889E-4,255,255,255
182,5.000E-4,255,255,255
183,0.002,255,255,255
184,2.333E-4,255,255,255
185,0.003,255,255,255
186,0.002,255,255,255
187,0.001,255,255,255
188,1.667E-4,255,255,255
189,0.001,255,255,255
190,2.222E-5,255,255,255
191,1.222E-4,255,255,255
192,2.000E-4,255,255,255
193,2.222E-5,255,255,255
194,6.667E-5,255,255,255
195,0.002,255,255,255
196,0.001,255,255,255
197,3.333E-5,255,255,255
198,8.889E-5,255,255,255
199,0.002,255,255,255
200,0.002,255,255,255
201,0.002,255,255,255
202,0.002,255,255,255
203,4.444E-5,255,255,255
204,0.002,255,255,255
205,8.889E-5,255,255,255
206,2.667E-4,255,255,255
207,5.556E-5,255,255,255
208,1.111E-4,255,255,255
209,0.002,255,255,255
210,1.778E-4,255,255,255
211,1.778E-4,255,255,255
212,0.002,255,255,255
213,1.889E-4,255,255,255
214,0.002,255,255,255
215,0.001,255,255,255
216,0.002,255,255,255
217,0.002,255,255,255
218,0.003,255,255,255
219,2.000E-4,255,255,255
220,0.002,255,255,255
221,0.001,255,255,255
222,1.111E-5,255,255,255
223,5.556E-5,255,255,255
224,1.111E-5,255,255,255
225,6.667E-5,255,255,255
226,1.111E-5,255,255,255
227,0.002,255,255,255
228,6.667E-5,255,255,255
229,1.111E-5,255,255,255
230,1.667E-4,255,255,255
231,0.002,255,255,255
232,0.002,255,255,255
233,1.111E-5,255,255,255
234,4.444E-5,255,255,255
235,1.111E-5,255,255,255
236,2.111E-4,255,255,255
237,3.111E-4,255,255,255
238,1.000E-4,255,255,255
239,1.111E-5,255,255,255
240,1.111E-5,255,255,255
241,0.002,255,255,255
242,0.002,255,255,255
243,3.333E-5,255,255,255
244,1.111E-5,255,255,255
245,1.111E-5,255,255,255
246,1.111E-5,255,255,255
247,1.111E-5,255,255,255
248,6.667E-5,255,255,255
249,1.111E-5,255,255,255
250,1.111E-5,255,255,255
251,1.111E-5,255,255,255
252,1.111E-5,255,255,255
253,0.002,255,255,255
254,0.002,255,255,255
255,1.111E-5,255,255,255
256,9.222E-4,255,255,255
257,8.889E-5,255,255,255
258,1.111E-5,255,255,255
259,1.111E-5,255,255,255
260,0.002,255,255,255
261,6.889E-4,255,255,255
262,0.002,255,255,255
263,0.003,255,255,255
264,9.222E-4,255,255,255
265,1.444E-4,255,255,255
266,1.000E-4,255,255,255
267,3.000E-4,255,255,255
268,1.111E-5,255,255,255
269,1.111E-5,255,255,255
270,1.111E-5,255,255,255
271,1.111E-5,255,255,255
