 ,Area,Mean,Min,Max
1,2.222E-5,255,255,255
2,1.556E-4,255,255,255
3,0.001,255,255,255
4,7.444E-4,255,255,255
5,5.778E-4,255,255,255
6,9.111E-4,255,255,255
7,8.667E-4,255,255,255
8,1.556E-4,255,255,255
9,6.444E-4,255,255,255
10,9.222E-4,255,255,255
11,0.001,255,255,255
12,7.333E-4,255,255,255
13,1.111E-5,255,255,255
14,0.001,255,255,255
15,9.000E-4,255,255,255
16,7.556E-4,255,255,255
17,8.444E-4,255,255,255
18,9.778E-4,255,255,255
19,4.444E-4,255,255,255
20,1.556E-4,255,255,255
21,9.556E-4,255,255,255
22,9.222E-4,255,255,255
23,6.111E-4,255,255,255
24,2.667E-4,255,255,255
25,0.001,255,255,255
26,1.667E-4,255,255,255
27,9.000E-4,255,255,255
28,8.889E-4,255,255,255
29,1.111E-5,255,255,255
30,2.000E-4,255,255,255
31,7.889E-4,255,255,255
32,8.444E-4,255,255,255
33,1.111E-5,255,255,255
34,8.889E-4,255,255,255
35,1.111E-5,255,255,255
36,9.556E-4,255,255,255
37,0.001,255,255,255
38,1.111E-5,255,255,255
39,0.001,255,255,255
40,5.667E-4,255,255,255
41,1.111E-5,255,255,255
42,9.222E-4,255,255,255
43,9.333E-4,255,255,255
44,0.001,255,255,255
45,8.222E-4,255,255,255
46,7.222E-4,255,255,255
47,8.778E-4,255,255,255
48,4.222E-4,255,255,255
49,5.000E-4,255,255,255
50,1.111E-5,255,255,255
51,1.111E-5,255,255,255
52,1.111E-5,255,255,255
53,9.444E-4,255,255,255
54,3.889E-4,255,255,255
55,1.111E-5,255,255,255
56,1.111E-5,255,255,255
57,7.889E-4,255,255,255
58,5.444E-4,255,255,255
59,1.111E-5,255,255,255
60,1.111E-5,255,255,255
61,8.333E-4,255,255,255
62,2.222E-5,255,255,255
63,0.001,255,255,255
64,8.667E-4,255,255,255
65,1.111E-5,255,255,255
66,7.333E-4,255,255,255
67,5.444E-4,255,255,255
68,7.111E-4,255,255,255
69,7.667E-4,255,255,255
70,1.111E-5,255,255,255
71,0.002,255,255,255
72,2.222E-5,255,255,255
73,6.444E-4,255,255,255
74,9.000E-4,255,255,255
75,6.667E-4,255,255,255
76,9.667E-4,255,255,255
77,0.001,255,255,255
78,0.002,255,255,255
79,8.111E-4,255,255,255
80,1.111E-5,255,255,255
81,6.556E-4,255,255,255
82,9.111E-4,255,255,255
83,6.111E-4,255,255,255
84,8.444E-4,255,255,255
85,9.222E-4,255,255,255
86,0.001,255,255,255
87,0.001,255,255,255
88,2.222E-5,255,255,255
89,7.000E-4,255,255,255
90,0.002,255,255,255
91,4.333E-4,255,255,255
92,8.667E-4,255,255,255
93,9.444E-4,255,255,255
94,6.111E-4,255,255,255
95,8.778E-4,255,255,255
96,8.111E-4,255,255,255
97,6.889E-4,255,255,255
98,0.002,255,255,255
99,7.889E-4,255,255,255
100,0.001,255,255,255
101,0.001,255,255,255
102,9.889E-4,255,255,255
103,5.778E-4,255,255,255
104,4.889E-4,255,255,255
105,0.001,255,255,255
106,8.556E-4,255,255,255
107,6.222E-4,255,255,255
108,9.444E-4,255,255,255
109,9.778E-4,255,255,255
110,6.889E-4,255,255,255
111,6.889E-4,255,255,255
112,0.001,255,255,255
113,1.111E-5,255,255,255
114,8.222E-4,255,255,255
115,0.001,255,255,255
116,8.889E-4,255,255,255
117,1.111E-4,255,255,255
118,0.002,255,255,255
119,9.667E-4,255,255,255
120,6.778E-4,255,255,255
121,7.889E-4,255,255,255
122,5.222E-4,255,255,255
123,7.111E-4,255,255,255
124,7.000E-4,255,255,255
125,5.222E-4,255,255,255
126,9.444E-4,255,255,255
127,8.667E-4,255,255,255
128,0.001,255,255,255
129,0.001,255,255,255
130,0.001,255,255,255
131,0.001,255,255,255
132,0.002,255,255,255
133,8.778E-4,255,255,255
134,0.001,255,255,255
135,5.667E-4,255,255,255
136,9.556E-4,255,255,255
137,0.002,255,255,255
