 ,Area,Mean,Min,Max
1,6.667E-4,255,255,255
2,0.003,255,255,255
3,6.778E-4,255,255,255
4,0.004,255,255,255
5,0.001,255,255,255
6,5.556E-4,255,255,255
7,0.001,255,255,255
8,5.111E-4,255,255,255
9,3.556E-4,255,255,255
10,3.667E-4,255,255,255
11,2.889E-4,255,255,255
12,6.000E-4,255,255,255
13,3.667E-4,255,255,255
14,4.444E-5,255,255,255
15,7.778E-5,255,255,255
16,6.111E-4,255,255,255
17,2.222E-5,255,255,255
18,3.222E-4,255,255,255
19,6.778E-4,255,255,255
20,1.000E-4,255,255,255
21,1.222E-4,255,255,255
22,6.889E-4,255,255,255
23,7.444E-4,255,255,255
24,9.222E-4,255,255,255
25,0.001,255,255,255
26,4.444E-4,255,255,255
27,1.111E-5,255,255,255
28,5.889E-4,255,255,255
29,2.222E-5,255,255,255
30,9.778E-4,255,255,255
31,7.667E-4,255,255,255
32,4.556E-4,255,255,255
33,9.667E-4,255,255,255
34,7.222E-4,255,255,255
35,6.444E-4,255,255,255
36,4.667E-4,255,255,255
37,8.889E-5,255,255,255
38,2.222E-5,255,255,255
39,2.333E-4,255,255,255
40,6.222E-4,255,255,255
41,2.222E-5,255,255,255
42,4.444E-5,255,255,255
43,0.002,255,255,255
44,0.001,255,255,255
45,2.222E-5,255,255,255
46,6.222E-4,255,255,255
47,2.222E-5,255,255,255
48,0.002,255,255,255
49,5.333E-4,255,255,255
50,5.667E-4,255,255,255
51,0.001,255,255,255
52,0.003,255,255,255
53,7.444E-4,255,255,255
54,9.111E-4,255,255,255
55,7.222E-4,255,255,255
56,7.778E-4,255,255,255
57,3.556E-4,255,255,255
58,8.889E-4,255,255,255
59,7.333E-4,255,255,255
60,6.667E-5,255,255,255
61,5.889E-4,255,255,255
62,0.001,255,255,255
63,3.444E-4,255,255,255
64,4.111E-4,255,255,255
65,3.667E-4,255,255,255
66,4.444E-4,255,255,255
67,3.444E-4,255,255,255
68,6.444E-4,255,255,255
69,7.333E-4,255,255,255
70,6.222E-4,255,255,255
71,3.333E-4,255,255,255
72,7.889E-4,255,255,255
73,7.111E-4,255,255,255
74,9.778E-4,255,255,255
75,7.333E-4,255,255,255
76,4.333E-4,255,255,255
77,4.111E-4,255,255,255
78,3.667E-4,255,255,255
79,4.000E-4,255,255,255
80,6.778E-4,255,255,255
81,3.444E-4,255,255,255
82,4.778E-4,255,255,255
83,7.444E-4,255,255,255
84,6.111E-4,255,255,255
85,6.444E-4,255,255,255
86,0.001,255,255,255
87,3.111E-4,255,255,255
88,5.556E-4,255,255,255
89,9.556E-4,255,255,255
90,6.222E-4,255,255,255
91,7.444E-4,255,255,255
92,5.889E-4,255,255,255
93,0.001,255,255,255
94,0.001,255,255,255
95,9.444E-4,255,255,255
96,6.333E-4,255,255,255
97,9.556E-4,255,255,255
98,4.556E-4,255,255,255
99,0.001,255,255,255
100,0.001,255,255,255
101,6.111E-4,255,255,255
102,3.333E-4,255,255,255
103,0.002,255,255,255
104,8.667E-4,255,255,255
105,5.556E-4,255,255,255
106,6.556E-4,255,255,255
107,3.000E-4,255,255,255
108,5.778E-4,255,255,255
109,4.889E-4,255,255,255
110,0.001,255,255,255
111,0.002,255,255,255
112,0.002,255,255,255
113,3.444E-4,255,255,255
114,3.667E-4,255,255,255
115,0.001,255,255,255
116,5.889E-4,255,255,255
117,7.667E-4,255,255,255
118,3.889E-4,255,255,255
119,0.001,255,255,255
120,0.002,255,255,255
121,4.444E-4,255,255,255
122,4.556E-4,255,255,255
123,6.778E-4,255,255,255
124,1.111E-5,255,255,255
125,5.111E-4,255,255,255
126,3.556E-4,255,255,255
127,4.889E-4,255,255,255
128,5.111E-4,255,255,255
129,5.556E-4,255,255,255
130,6.556E-4,255,255,255
131,6.333E-4,255,255,255
132,0.001,255,255,255
133,0.001,255,255,255
134,6.222E-4,255,255,255
135,0.002,255,255,255
136,6.778E-4,255,255,255
137,5.111E-4,255,255,255
138,0.001,255,255,255
139,0.001,255,255,255
140,5.222E-4,255,255,255
141,3.333E-4,255,255,255
142,4.444E-4,255,255,255
143,5.222E-4,255,255,255
144,0.002,255,255,255
145,4.444E-4,255,255,255
146,5.333E-4,255,255,255
147,0.001,255,255,255
148,6.333E-4,255,255,255
149,7.556E-4,255,255,255
150,7.444E-4,255,255,255
151,5.000E-4,255,255,255
152,7.111E-4,255,255,255
153,6.000E-4,255,255,255
154,7.111E-4,255,255,255
155,3.889E-4,255,255,255
156,0.002,255,255,255
157,0.001,255,255,255
158,4.667E-4,255,255,255
159,6.444E-4,255,255,255
160,0.001,255,255,255
161,4.333E-4,255,255,255
162,0.001,255,255,255
163,4.778E-4,255,255,255
164,9.667E-4,255,255,255
165,9.889E-4,255,255,255
166,9.889E-4,255,255,255
167,5.222E-4,255,255,255
168,8.889E-4,255,255,255
169,4.667E-4,255,255,255
170,6.889E-4,255,255,255
171,0.001,255,255,255
172,0.001,255,255,255
173,7.667E-4,255,255,255
174,6.111E-4,255,255,255
175,5.778E-4,255,255,255
176,8.111E-4,255,255,255
177,6.000E-4,255,255,255
178,5.444E-4,255,255,255
179,0.001,255,255,255
180,5.889E-4,255,255,255
181,0.001,255,255,255
182,0.001,255,255,255
183,6.444E-4,255,255,255
184,5.889E-4,255,255,255
185,5.111E-4,255,255,255
186,7.778E-4,255,255,255
187,4.222E-4,255,255,255
188,0.001,255,255,255
189,0.002,255,255,255
190,4.000E-4,255,255,255
191,6.111E-4,255,255,255
192,6.444E-4,255,255,255
193,7.000E-4,255,255,255
194,6.000E-4,255,255,255
195,7.222E-4,255,255,255
196,4.222E-4,255,255,255
197,4.444E-5,255,255,255
198,0.001,255,255,255
199,6.111E-4,255,255,255
200,0.001,255,255,255
201,6.778E-4,255,255,255
202,0.001,255,255,255
203,3.000E-4,255,255,255
204,6.222E-4,255,255,255
205,5.444E-4,255,255,255
206,0.001,255,255,255
207,0.002,255,255,255
208,8.000E-4,255,255,255
209,4.889E-4,255,255,255
210,4.222E-4,255,255,255
211,6.667E-4,255,255,255
212,0.001,255,255,255
213,4.889E-4,255,255,255
214,6.444E-4,255,255,255
215,6.333E-4,255,255,255
216,0.002,255,255,255
217,5.778E-4,255,255,255
218,5.000E-4,255,255,255
219,1.111E-5,255,255,255
220,1.111E-5,255,255,255
221,0.001,255,255,255
222,6.667E-4,255,255,255
223,7.222E-4,255,255,255
224,2.889E-4,255,255,255
225,2.778E-4,255,255,255
226,4.556E-4,255,255,255
227,0.002,255,255,255
228,4.667E-4,255,255,255
229,6.333E-4,255,255,255
230,5.667E-4,255,255,255
231,5.667E-4,255,255,255
232,6.444E-4,255,255,255
233,9.333E-4,255,255,255
234,4.778E-4,255,255,255
235,4.889E-4,255,255,255
236,5.000E-4,255,255,255
237,7.000E-4,255,255,255
238,7.667E-4,255,255,255
239,1.667E-4,255,255,255
240,4.222E-4,255,255,255
241,0.002,255,255,255
242,5.444E-4,255,255,255
243,0.001,255,255,255
244,0.002,255,255,255
245,5.444E-4,255,255,255
246,6.111E-4,255,255,255
247,6.889E-4,255,255,255
248,0.001,255,255,255
249,5.444E-4,255,255,255
250,0.001,255,255,255
251,0.002,255,255,255
252,6.778E-4,255,255,255
253,0.001,255,255,255
254,6.222E-4,255,255,255
255,2.444E-4,255,255,255
256,1.111E-4,255,255,255
257,5.444E-4,255,255,255
258,5.111E-4,255,255,255
259,0.001,255,255,255
260,7.556E-4,255,255,255
261,8.222E-4,255,255,255
262,3.111E-4,255,255,255
263,6.444E-4,255,255,255
264,4.444E-4,255,255,255
265,0.003,255,255,255
266,8.556E-4,255,255,255
267,4.333E-4,255,255,255
268,0.002,255,255,255
269,5.444E-4,255,255,255
270,4.556E-4,255,255,255
271,7.111E-4,255,255,255
272,3.333E-5,255,255,255
273,0.001,255,255,255
274,5.000E-4,255,255,255
275,1.111E-5,255,255,255
276,0.001,255,255,255
277,1.556E-4,255,255,255
278,5.778E-4,255,255,255
279,2.667E-4,255,255,255
280,5.778E-4,255,255,255
281,5.667E-4,255,255,255
282,0.002,255,255,255
283,4.222E-4,255,255,255
284,7.778E-4,255,255,255
285,4.667E-4,255,255,255
286,8.667E-4,255,255,255
287,7.889E-4,255,255,255
288,6.667E-4,255,255,255
289,6.333E-4,255,255,255
290,6.556E-4,255,255,255
291,6.000E-4,255,255,255
292,5.333E-4,255,255,255
293,0.002,255,255,255
294,4.778E-4,255,255,255
295,5.111E-4,255,255,255
296,0.001,255,255,255
297,4.889E-4,255,255,255
298,5.444E-4,255,255,255
299,7.444E-4,255,255,255
300,0.001,255,255,255
301,5.667E-4,255,255,255
302,4.000E-4,255,255,255
303,8.111E-4,255,255,255
304,2.111E-4,255,255,255
305,0.002,255,255,255
306,0.001,255,255,255
307,6.000E-4,255,255,255
308,0.001,255,255,255
