 ,Area,Mean,Min,Max
1,1.000E-4,255,255,255
2,1.444E-4,255,255,255
3,0.002,255,255,255
4,3.111E-4,255,255,255
5,2.111E-4,255,255,255
6,5.556E-5,255,255,255
7,0.002,255,255,255
8,1.333E-4,255,255,255
9,3.444E-4,255,255,255
10,2.556E-4,255,255,255
11,2.889E-4,255,255,255
12,0.002,255,255,255
13,0.001,255,255,255
14,0.002,255,255,255
15,0.001,255,255,255
16,1.000E-4,255,255,255
17,3.333E-4,255,255,255
18,8.000E-4,255,255,255
19,0.002,255,255,255
20,1.889E-4,255,255,255
21,1.444E-4,255,255,255
22,3.667E-4,255,255,255
23,3.444E-4,255,255,255
24,1.111E-4,255,255,255
25,1.111E-4,255,255,255
26,0.001,255,255,255
27,2.333E-4,255,255,255
28,1.667E-4,255,255,255
29,0.002,255,255,255
30,3.000E-4,255,255,255
31,2.222E-5,255,255,255
32,1.000E-4,255,255,255
33,0.001,255,255,255
34,0.001,255,255,255
35,1.778E-4,255,255,255
36,3.222E-4,255,255,255
37,0.002,255,255,255
38,0.001,255,255,255
39,3.000E-4,255,255,255
40,0.001,255,255,255
41,0.001,255,255,255
42,1.444E-4,255,255,255
43,0.002,255,255,255
44,0.001,255,255,255
45,0.001,255,255,255
46,0.002,255,255,255
47,0.002,255,255,255
48,1.111E-4,255,255,255
49,2.333E-4,255,255,255
50,0.001,255,255,255
51,0.002,255,255,255
52,2.222E-5,255,255,255
53,1.444E-4,255,255,255
54,0.001,255,255,255
55,8.889E-5,255,255,255
56,1.333E-4,255,255,255
57,1.889E-4,255,255,255
58,4.222E-4,255,255,255
59,0.002,255,255,255
60,2.333E-4,255,255,255
61,5.556E-5,255,255,255
62,0.002,255,255,255
63,0.002,255,255,255
64,0.002,255,255,255
65,0.002,255,255,255
66,4.222E-4,255,255,255
67,0.002,255,255,255
68,2.889E-4,255,255,255
69,8.889E-5,255,255,255
70,1.000E-4,255,255,255
71,0.001,255,255,255
72,0.001,255,255,255
73,3.333E-5,255,255,255
74,0.002,255,255,255
75,0.001,255,255,255
76,2.333E-4,255,255,255
77,0.001,255,255,255
78,0.001,255,255,255
79,0.001,255,255,255
80,7.778E-5,255,255,255
81,6.667E-5,255,255,255
82,9.000E-4,255,255,255
83,0.001,255,255,255
84,1.556E-4,255,255,255
85,3.333E-5,255,255,255
86,9.333E-4,255,255,255
87,7.333E-4,255,255,255
88,0.001,255,255,255
89,0.002,255,255,255
90,1.222E-4,255,255,255
91,0.001,255,255,255
92,0.001,255,255,255
93,1.000E-4,255,255,255
94,4.444E-5,255,255,255
95,0.002,255,255,255
96,0.001,255,255,255
97,2.333E-4,255,255,255
98,1.222E-4,255,255,255
99,1.222E-4,255,255,255
100,2.222E-5,255,255,255
101,0.001,255,255,255
102,4.444E-5,255,255,255
103,0.001,255,255,255
104,0.001,255,255,255
105,1.667E-4,255,255,255
106,1.667E-4,255,255,255
107,0.002,255,255,255
108,9.667E-4,255,255,255
109,0.001,255,255,255
110,1.556E-4,255,255,255
111,4.444E-5,255,255,255
112,1.444E-4,255,255,255
113,8.889E-5,255,255,255
114,1.667E-4,255,255,255
115,0.002,255,255,255
116,2.333E-4,255,255,255
117,1.556E-4,255,255,255
118,6.556E-4,255,255,255
119,5.556E-5,255,255,255
120,0.001,255,255,255
121,1.000E-4,255,255,255
122,0.002,255,255,255
123,0.002,255,255,255
124,1.667E-4,255,255,255
125,0.001,255,255,255
126,0.001,255,255,255
127,0.002,255,255,255
128,1.444E-4,255,255,255
129,0.003,255,255,255
130,0.001,255,255,255
131,0.001,255,255,255
132,0.001,255,255,255
133,0.002,255,255,255
134,2.222E-4,255,255,255
135,0.001,255,255,255
136,8.889E-5,255,255,255
137,0.001,255,255,255
138,0.001,255,255,255
139,0.001,255,255,255
140,7.778E-5,255,255,255
141,0.002,255,255,255
142,9.222E-4,255,255,255
143,0.001,255,255,255
144,1.667E-4,255,255,255
145,0.001,255,255,255
146,0.002,255,255,255
147,0.003,255,255,255
148,0.002,255,255,255
149,1.222E-4,255,255,255
150,0.002,255,255,255
151,5.556E-5,255,255,255
152,0.001,255,255,255
153,1.889E-4,255,255,255
154,1.333E-4,255,255,255
155,0.001,255,255,255
156,1.111E-5,255,255,255
157,8.222E-4,255,255,255
158,0.001,255,255,255
159,1.556E-4,255,255,255
160,6.222E-4,255,255,255
161,0.001,255,255,255
162,0.001,255,255,255
163,5.556E-5,255,255,255
164,0.001,255,255,255
165,2.111E-4,255,255,255
166,0.001,255,255,255
167,2.222E-5,255,255,255
168,0.001,255,255,255
169,1.000E-4,255,255,255
170,1.556E-4,255,255,255
171,1.111E-4,255,255,255
172,0.001,255,255,255
173,2.111E-4,255,255,255
174,0.002,255,255,255
175,0.001,255,255,255
176,2.111E-4,255,255,255
177,8.889E-5,255,255,255
178,8.222E-4,255,255,255
179,0.001,255,255,255
180,2.222E-5,255,255,255
181,1.222E-4,255,255,255
182,1.667E-4,255,255,255
183,2.222E-5,255,255,255
184,0.002,255,255,255
185,0.001,255,255,255
186,0.001,255,255,255
187,0.001,255,255,255
188,0.001,255,255,255
189,0.001,255,255,255
190,1.556E-4,255,255,255
191,0.001,255,255,255
192,9.556E-4,255,255,255
193,0.001,255,255,255
194,8.667E-4,255,255,255
