 ,Area,Mean,Min,Max
1,3.111E-4,255,255,255
2,1.111E-5,255,255,255
3,1.111E-5,255,255,255
4,8.556E-4,255,255,255
5,1.111E-5,255,255,255
6,3.333E-5,255,255,255
7,1.111E-5,255,255,255
8,1.111E-5,255,255,255
9,2.222E-5,255,255,255
10,2.222E-5,255,255,255
11,2.222E-5,255,255,255
12,7.444E-4,255,255,255
13,0.001,255,255,255
14,0.001,255,255,255
15,0.001,255,255,255
16,5.000E-4,255,255,255
17,8.556E-4,255,255,255
18,2.444E-4,255,255,255
19,7.778E-5,255,255,255
20,0.001,255,255,255
21,4.444E-4,255,255,255
22,0.001,255,255,255
23,0.002,255,255,255
24,0.001,255,255,255
25,0.001,255,255,255
26,9.889E-4,255,255,255
27,3.667E-4,255,255,255
28,1.889E-4,255,255,255
29,0.001,255,255,255
30,0.001,255,255,255
31,3.444E-4,255,255,255
32,0.001,255,255,255
33,2.222E-4,255,255,255
34,8.333E-4,255,255,255
35,0.002,255,255,255
36,2.000E-4,255,255,255
37,9.556E-4,255,255,255
38,1.222E-4,255,255,255
39,2.222E-4,255,255,255
40,0.001,255,255,255
41,0.002,255,255,255
42,3.222E-4,255,255,255
43,0.002,255,255,255
44,0.001,255,255,255
45,0.001,255,255,255
46,3.111E-4,255,255,255
47,7.778E-4,255,255,255
48,6.667E-4,255,255,255
49,0.003,255,255,255
50,0.002,255,255,255
51,1.111E-5,255,255,255
52,0.001,255,255,255
53,0.001,255,255,255
54,0.001,255,255,255
55,8.111E-4,255,255,255
56,0.001,255,255,255
57,0.001,255,255,255
58,0.001,255,255,255
59,0.001,255,255,255
60,0.002,255,255,255
61,3.444E-4,255,255,255
62,9.778E-4,255,255,255
63,0.001,255,255,255
64,0.002,255,255,255
65,0.001,255,255,255
66,8.000E-4,255,255,255
67,2.111E-4,255,255,255
68,0.001,255,255,255
69,0.001,255,255,255
70,1.889E-4,255,255,255
71,0.002,255,255,255
72,8.444E-4,255,255,255
73,0.001,255,255,255
74,2.111E-4,255,255,255
75,0.001,255,255,255
76,2.222E-5,255,255,255
77,9.556E-4,255,255,255
78,5.556E-5,255,255,255
79,8.000E-4,255,255,255
80,0.001,255,255,255
81,2.000E-4,255,255,255
82,1.222E-4,255,255,255
83,0.001,255,255,255
84,1.222E-4,255,255,255
85,0.001,255,255,255
86,0.001,255,255,255
87,3.333E-4,255,255,255
88,0.001,255,255,255
89,0.002,255,255,255
90,7.111E-4,255,255,255
91,3.778E-4,255,255,255
92,0.002,255,255,255
93,0.001,255,255,255
94,1.111E-5,255,255,255
95,1.778E-4,255,255,255
96,7.333E-4,255,255,255
97,0.001,255,255,255
98,0.005,255,255,255
99,0.002,255,255,255
100,3.556E-4,255,255,255
101,1.444E-4,255,255,255
102,9.556E-4,255,255,255
103,0.002,255,255,255
104,9.333E-4,255,255,255
105,1.556E-4,255,255,255
106,8.444E-4,255,255,255
107,0.001,255,255,255
108,3.333E-5,255,255,255
109,0.001,255,255,255
110,0.002,255,255,255
111,0.001,255,255,255
112,0.001,255,255,255
113,4.667E-4,255,255,255
114,0.001,255,255,255
115,0.001,255,255,255
116,1.111E-5,255,255,255
117,9.667E-4,255,255,255
118,0.002,255,255,255
119,0.001,255,255,255
120,3.778E-4,255,255,255
121,2.222E-4,255,255,255
122,8.000E-4,255,255,255
123,9.111E-4,255,255,255
124,0.002,255,255,255
125,0.001,255,255,255
126,0.001,255,255,255
127,2.222E-5,255,255,255
128,1.111E-5,255,255,255
129,0.001,255,255,255
130,0.001,255,255,255
131,1.111E-5,255,255,255
132,0.003,255,255,255
133,3.333E-5,255,255,255
134,9.556E-4,255,255,255
135,0.001,255,255,255
136,0.002,255,255,255
137,0.001,255,255,255
138,0.001,255,255,255
139,1.111E-5,255,255,255
140,1.556E-4,255,255,255
141,9.889E-4,255,255,255
142,0.001,255,255,255
143,2.667E-4,255,255,255
144,0.001,255,255,255
145,0.001,255,255,255
146,0.001,255,255,255
147,4.444E-5,255,255,255
148,0.002,255,255,255
149,0.001,255,255,255
150,0.001,255,255,255
151,0.001,255,255,255
152,0.001,255,255,255
153,0.002,255,255,255
154,3.667E-4,255,255,255
155,0.001,255,255,255
156,0.001,255,255,255
157,0.001,255,255,255
158,0.001,255,255,255
159,0.002,255,255,255
160,0.002,255,255,255
161,1.111E-5,255,255,255
162,0.001,255,255,255
163,0.002,255,255,255
164,1.111E-5,255,255,255
165,9.333E-4,255,255,255
166,9.444E-4,255,255,255
167,2.444E-4,255,255,255
168,2.667E-4,255,255,255
169,0.001,255,255,255
170,0.001,255,255,255
171,3.333E-5,255,255,255
172,2.556E-4,255,255,255
173,9.889E-4,255,255,255
174,0.002,255,255,255
175,0.001,255,255,255
176,5.111E-4,255,255,255
177,0.001,255,255,255
178,0.002,255,255,255
179,0.001,255,255,255
180,9.000E-4,255,255,255
181,0.001,255,255,255
182,8.889E-5,255,255,255
183,6.778E-4,255,255,255
184,0.001,255,255,255
185,8.111E-4,255,255,255
186,1.889E-4,255,255,255
187,0.001,255,255,255
188,0.002,255,255,255
189,0.001,255,255,255
190,0.001,255,255,255
191,9.333E-4,255,255,255
192,1.333E-4,255,255,255
193,4.444E-5,255,255,255
194,0.002,255,255,255
195,9.444E-4,255,255,255
196,0.001,255,255,255
197,0.001,255,255,255
198,0.001,255,255,255
199,1.000E-4,255,255,255
200,8.778E-4,255,255,255
201,0.001,255,255,255
202,1.111E-5,255,255,255
203,4.111E-4,255,255,255
204,0.001,255,255,255
205,0.001,255,255,255
206,7.667E-4,255,255,255
207,0.001,255,255,255
208,8.000E-4,255,255,255
209,0.001,255,255,255
210,0.001,255,255,255
211,0.002,255,255,255
212,0.001,255,255,255
213,0.001,255,255,255
214,9.333E-4,255,255,255
215,0.001,255,255,255
216,0.001,255,255,255
217,1.111E-5,255,255,255
218,6.667E-5,255,255,255
219,9.111E-4,255,255,255
220,8.000E-4,255,255,255
221,6.667E-5,255,255,255
222,4.444E-5,255,255,255
223,9.556E-4,255,255,255
224,3.333E-5,255,255,255
225,1.111E-5,255,255,255
226,0.001,255,255,255
227,1.222E-4,255,255,255
228,0.002,255,255,255
229,8.333E-4,255,255,255
230,0.001,255,255,255
231,0.003,255,255,255
232,0.001,255,255,255
233,0.001,255,255,255
234,1.111E-5,255,255,255
235,3.333E-5,255,255,255
236,0.001,255,255,255
237,5.222E-4,255,255,255
238,0.001,255,255,255
239,0.001,255,255,255
240,8.444E-4,255,255,255
241,1.111E-5,255,255,255
242,9.333E-4,255,255,255
243,1.111E-5,255,255,255
244,0.003,255,255,255
245,0.001,255,255,255
246,1.111E-5,255,255,255
247,0.002,255,255,255
248,0.002,255,255,255
249,0.002,255,255,255
250,9.111E-4,255,255,255
251,4.778E-4,255,255,255
252,0.001,255,255,255
253,0.001,255,255,255
254,9.889E-4,255,255,255
255,1.111E-5,255,255,255
256,0.001,255,255,255
257,0.003,255,255,255
258,1.111E-5,255,255,255
259,1.111E-5,255,255,255
260,0.001,255,255,255
261,0.001,255,255,255
262,0.002,255,255,255
263,0.001,255,255,255
264,0.002,255,255,255
265,0.001,255,255,255
266,0.001,255,255,255
267,0.002,255,255,255
268,0.001,255,255,255
269,0.001,255,255,255
270,0.001,255,255,255
271,0.002,255,255,255
272,0.002,255,255,255
273,6.333E-4,255,255,255
274,0.001,255,255,255
275,8.333E-4,255,255,255
276,0.001,255,255,255
277,0.002,255,255,255
278,0.001,255,255,255
279,0.001,255,255,255
280,0.001,255,255,255
281,3.000E-4,255,255,255
282,0.001,255,255,255
283,7.889E-4,255,255,255
284,0.001,255,255,255
285,0.001,255,255,255
286,0.002,255,255,255
287,0.001,255,255,255
288,2.444E-4,255,255,255
289,0.001,255,255,255
290,0.002,255,255,255
291,9.111E-4,255,255,255
292,9.444E-4,255,255,255
293,0.003,255,255,255
294,0.001,255,255,255
295,0.001,255,255,255
296,0.001,255,255,255
297,0.002,255,255,255
298,2.000E-4,255,255,255
299,0.001,255,255,255
300,0.003,255,255,255
301,0.001,255,255,255
302,0.002,255,255,255
303,0.001,255,255,255
304,0.003,255,255,255
305,0.001,255,255,255
306,0.001,255,255,255
307,9.222E-4,255,255,255
308,3.556E-4,255,255,255
309,0.003,255,255,255
310,3.889E-4,255,255,255
311,0.001,255,255,255
312,0.002,255,255,255
313,0.001,255,255,255
314,0.003,255,255,255
315,0.002,255,255,255
316,0.002,255,255,255
317,1.111E-5,255,255,255
318,0.001,255,255,255
319,0.001,255,255,255
320,7.889E-4,255,255,255
321,5.889E-4,255,255,255
322,0.001,255,255,255
323,0.001,255,255,255
324,6.667E-5,255,255,255
325,7.667E-4,255,255,255
326,0.002,255,255,255
327,7.778E-5,255,255,255
328,0.001,255,255,255
329,9.556E-4,255,255,255
330,0.001,255,255,255
331,8.889E-4,255,255,255
332,1.333E-4,255,255,255
333,0.001,255,255,255
334,0.001,255,255,255
335,7.111E-4,255,255,255
336,0.001,255,255,255
337,0.001,255,255,255
338,9.889E-4,255,255,255
339,0.001,255,255,255
340,0.001,255,255,255
341,4.444E-5,255,255,255
342,1.333E-4,255,255,255
343,0.001,255,255,255
344,0.001,255,255,255
345,0.001,255,255,255
346,0.001,255,255,255
347,8.000E-4,255,255,255
348,0.002,255,255,255
349,0.001,255,255,255
350,0.001,255,255,255
351,0.001,255,255,255
352,0.001,255,255,255
353,0.002,255,255,255
354,8.778E-4,255,255,255
355,2.222E-4,255,255,255
356,0.002,255,255,255
357,0.002,255,255,255
358,0.001,255,255,255
359,0.002,255,255,255
360,0.001,255,255,255
361,0.001,255,255,255
362,0.001,255,255,255
363,0.001,255,255,255
364,0.001,255,255,255
365,1.111E-4,255,255,255
366,0.002,255,255,255
367,0.001,255,255,255
368,6.667E-5,255,255,255
369,0.001,255,255,255
370,0.001,255,255,255
371,6.000E-4,255,255,255
372,0.001,255,255,255
373,0.002,255,255,255
374,0.001,255,255,255
375,0.001,255,255,255
376,0.001,255,255,255
377,0.001,255,255,255
378,0.001,255,255,255
379,0.001,255,255,255
380,1.111E-5,255,255,255
381,0.001,255,255,255
382,0.002,255,255,255
383,0.001,255,255,255
384,0.001,255,255,255
385,1.111E-5,255,255,255
386,0.001,255,255,255
387,0.001,255,255,255
388,0.001,255,255,255
389,0.001,255,255,255
390,8.778E-4,255,255,255
391,2.778E-4,255,255,255
392,0.001,255,255,255
393,0.001,255,255,255
394,1.111E-5,255,255,255
395,6.444E-4,255,255,255
396,0.001,255,255,255
397,0.002,255,255,255
398,0.003,255,255,255
399,0.002,255,255,255
400,0.001,255,255,255
401,0.001,255,255,255
402,0.002,255,255,255
403,0.001,255,255,255
404,0.001,255,255,255
405,0.001,255,255,255
406,1.111E-5,255,255,255
407,0.001,255,255,255
408,0.001,255,255,255
409,0.001,255,255,255
410,0.001,255,255,255
411,0.004,255,255,255
412,0.001,255,255,255
413,1.111E-5,255,255,255
414,7.333E-4,255,255,255
415,1.111E-5,255,255,255
416,2.222E-5,255,255,255
417,1.111E-5,255,255,255
418,1.111E-5,255,255,255
419,0.001,255,255,255
420,0.002,255,255,255
421,0.001,255,255,255
422,1.111E-5,255,255,255
423,0.001,255,255,255
424,0.001,255,255,255
425,0.003,255,255,255
426,0.001,255,255,255
427,1.111E-5,255,255,255
428,1.444E-4,255,255,255
429,0.002,255,255,255
430,0.001,255,255,255
431,0.002,255,255,255
432,0.002,255,255,255
433,0.001,255,255,255
434,1.111E-5,255,255,255
435,0.002,255,255,255
436,0.002,255,255,255
437,3.000E-4,255,255,255
438,0.001,255,255,255
439,0.001,255,255,255
440,0.002,255,255,255
441,0.001,255,255,255
442,1.444E-4,255,255,255
443,0.001,255,255,255
444,0.001,255,255,255
445,2.222E-4,255,255,255
446,0.003,255,255,255
447,0.001,255,255,255
448,0.001,255,255,255
449,0.001,255,255,255
450,6.556E-4,255,255,255
451,0.001,255,255,255
452,0.001,255,255,255
453,5.000E-4,255,255,255
454,0.001,255,255,255
455,4.444E-5,255,255,255
456,0.001,255,255,255
457,0.002,255,255,255
458,0.001,255,255,255
459,3.667E-4,255,255,255
460,0.001,255,255,255
461,0.001,255,255,255
462,7.889E-4,255,255,255
463,0.001,255,255,255
464,0.001,255,255,255
465,0.001,255,255,255
466,0.002,255,255,255
467,4.222E-4,255,255,255
468,8.778E-4,255,255,255
469,0.001,255,255,255
470,0.002,255,255,255
471,0.001,255,255,255
472,1.444E-4,255,255,255
473,1.111E-5,255,255,255
474,0.001,255,255,255
475,1.111E-5,255,255,255
476,0.002,255,255,255
477,0.001,255,255,255
478,0.001,255,255,255
479,0.001,255,255,255
480,0.001,255,255,255
481,0.001,255,255,255
482,0.002,255,255,255
483,0.001,255,255,255
484,0.001,255,255,255
485,0.001,255,255,255
486,2.667E-4,255,255,255
487,0.001,255,255,255
488,0.001,255,255,255
489,0.002,255,255,255
490,0.002,255,255,255
491,0.001,255,255,255
492,2.222E-5,255,255,255
493,0.002,255,255,255
494,0.001,255,255,255
495,0.001,255,255,255
496,0.001,255,255,255
497,0.001,255,255,255
498,0.002,255,255,255
499,1.111E-5,255,255,255
500,0.001,255,255,255
501,0.012,255,255,255
502,0.001,255,255,255
503,1.111E-5,255,255,255
504,1.111E-5,255,255,255
505,0.002,255,255,255
506,0.003,255,255,255
507,0.001,255,255,255
508,9.111E-4,255,255,255
509,0.002,255,255,255
510,0.002,255,255,255
511,0.002,255,255,255
512,9.222E-4,255,255,255
513,7.444E-4,255,255,255
514,0.001,255,255,255
515,0.002,255,255,255
516,0.002,255,255,255
517,0.003,255,255,255
518,0.001,255,255,255
519,0.001,255,255,255
520,0.002,255,255,255
521,0.002,255,255,255
522,0.002,255,255,255
523,0.005,255,255,255
524,0.002,255,255,255
525,0.001,255,255,255
526,0.001,255,255,255
527,8.000E-4,255,255,255
528,0.001,255,255,255
529,0.003,255,255,255
530,0.001,255,255,255
531,0.001,255,255,255
532,0.001,255,255,255
