 ,Area,Mean,Min,Max
1,0.002,255,255,255
2,1.889E-4,255,255,255
3,1.889E-4,255,255,255
4,2.222E-4,255,255,255
5,2.222E-4,255,255,255
6,0.002,255,255,255
7,3.222E-4,255,255,255
8,0.003,255,255,255
9,3.333E-4,255,255,255
10,0.002,255,255,255
11,4.111E-4,255,255,255
12,3.778E-4,255,255,255
13,0.002,255,255,255
14,0.002,255,255,255
15,3.778E-4,255,255,255
16,0.002,255,255,255
17,0.002,255,255,255
18,1.111E-4,255,255,255
19,2.556E-4,255,255,255
20,1.222E-4,255,255,255
21,0.001,255,255,255
22,4.444E-5,255,255,255
23,0.003,255,255,255
24,2.889E-4,255,255,255
25,6.667E-5,255,255,255
26,1.111E-5,255,255,255
27,3.778E-4,255,255,255
28,1.111E-5,255,255,255
29,2.333E-4,255,255,255
30,3.333E-5,255,255,255
31,0.002,255,255,255
32,1.111E-5,255,255,255
33,2.222E-5,255,255,255
34,0.003,255,255,255
35,0.002,255,255,255
36,3.000E-4,255,255,255
37,6.556E-4,255,255,255
38,0.001,255,255,255
39,5.556E-5,255,255,255
40,0.003,255,255,255
41,0.002,255,255,255
42,2.111E-4,255,255,255
43,3.444E-4,255,255,255
44,7.778E-5,255,255,255
45,2.222E-5,255,255,255
46,1.111E-5,255,255,255
47,1.889E-4,255,255,255
48,0.002,255,255,255
49,2.889E-4,255,255,255
50,2.000E-4,255,255,255
51,2.778E-4,255,255,255
52,2.444E-4,255,255,255
53,2.000E-4,255,255,255
54,0.002,255,255,255
55,4.111E-4,255,255,255
56,0.002,255,255,255
57,1.222E-4,255,255,255
58,2.111E-4,255,255,255
59,0.002,255,255,255
60,0.002,255,255,255
61,2.222E-5,255,255,255
62,0.002,255,255,255
63,0.002,255,255,255
64,2.444E-4,255,255,255
65,4.556E-4,255,255,255
66,0.002,255,255,255
67,2.111E-4,255,255,255
68,0.002,255,255,255
69,2.556E-4,255,255,255
70,3.667E-4,255,255,255
71,5.556E-5,255,255,255
72,0.001,255,255,255
73,2.222E-5,255,255,255
74,2.556E-4,255,255,255
75,2.778E-4,255,255,255
76,0.002,255,255,255
77,0.002,255,255,255
78,2.333E-4,255,255,255
79,0.008,255,255,255
80,3.667E-4,255,255,255
81,0.001,255,255,255
82,0.001,255,255,255
83,3.111E-4,255,255,255
84,0.002,255,255,255
85,7.778E-5,255,255,255
86,0.002,255,255,255
87,3.000E-4,255,255,255
88,2.222E-4,255,255,255
89,3.000E-4,255,255,255
90,3.111E-4,255,255,255
91,0.001,255,255,255
92,0.002,255,255,255
93,2.333E-4,255,255,255
94,0.003,255,255,255
95,1.778E-4,255,255,255
96,0.002,255,255,255
97,3.333E-5,255,255,255
98,3.111E-4,255,255,255
99,2.667E-4,255,255,255
100,0.002,255,255,255
101,3.667E-4,255,255,255
102,2.889E-4,255,255,255
103,3.111E-4,255,255,255
104,0.002,255,255,255
105,0.002,255,255,255
106,1.222E-4,255,255,255
107,0.001,255,255,255
108,0.002,255,255,255
109,2.667E-4,255,255,255
110,7.778E-5,255,255,255
111,2.778E-4,255,255,255
112,2.222E-4,255,255,255
113,0.002,255,255,255
114,2.667E-4,255,255,255
115,2.222E-5,255,255,255
116,0.002,255,255,255
117,0.002,255,255,255
118,5.556E-5,255,255,255
119,1.111E-5,255,255,255
120,3.333E-4,255,255,255
121,0.002,255,255,255
122,1.111E-5,255,255,255
123,2.333E-4,255,255,255
124,1.889E-4,255,255,255
125,3.333E-4,255,255,255
126,1.111E-5,255,255,255
127,2.778E-4,255,255,255
128,2.778E-4,255,255,255
129,3.000E-4,255,255,255
130,2.111E-4,255,255,255
131,3.333E-5,255,255,255
132,0.002,255,255,255
133,2.556E-4,255,255,255
134,0.003,255,255,255
135,3.444E-4,255,255,255
136,0.002,255,255,255
137,6.667E-5,255,255,255
138,2.778E-4,255,255,255
139,0.002,255,255,255
140,3.111E-4,255,255,255
141,3.222E-4,255,255,255
142,2.333E-4,255,255,255
143,2.222E-5,255,255,255
144,4.556E-4,255,255,255
145,2.667E-4,255,255,255
146,3.556E-4,255,255,255
147,0.002,255,255,255
148,0.002,255,255,255
149,2.000E-4,255,255,255
150,2.000E-4,255,255,255
151,0.002,255,255,255
152,3.556E-4,255,255,255
153,3.222E-4,255,255,255
154,3.667E-4,255,255,255
155,2.000E-4,255,255,255
156,0.002,255,255,255
157,0.001,255,255,255
158,3.444E-4,255,255,255
159,2.000E-4,255,255,255
160,3.778E-4,255,255,255
161,3.222E-4,255,255,255
162,3.444E-4,255,255,255
163,2.667E-4,255,255,255
164,0.003,255,255,255
165,2.444E-4,255,255,255
166,3.111E-4,255,255,255
167,2.444E-4,255,255,255
168,1.222E-4,255,255,255
169,0.002,255,255,255
170,2.444E-4,255,255,255
171,3.111E-4,255,255,255
172,4.222E-4,255,255,255
173,4.333E-4,255,255,255
174,0.002,255,255,255
175,1.778E-4,255,255,255
176,1.889E-4,255,255,255
177,3.778E-4,255,255,255
178,0.002,255,255,255
179,2.333E-4,255,255,255
180,0.002,255,255,255
181,3.889E-4,255,255,255
182,3.333E-5,255,255,255
183,2.222E-4,255,255,255
184,4.444E-5,255,255,255
185,2.222E-5,255,255,255
186,3.333E-5,255,255,255
