 ,Area,Mean,Min,Max
1,0.002,255,255,255
2,7.111E-4,255,255,255
3,1.111E-5,255,255,255
4,1.111E-5,255,255,255
5,1.222E-4,255,255,255
6,2.556E-4,255,255,255
7,0.005,255,255,255
8,0.002,255,255,255
9,1.111E-5,255,255,255
10,1.111E-5,255,255,255
11,1.111E-5,255,255,255
12,1.333E-4,255,255,255
13,1.111E-5,255,255,255
14,3.333E-5,255,255,255
15,3.333E-5,255,255,255
16,0.002,255,255,255
17,0.002,255,255,255
18,0.002,255,255,255
19,1.667E-4,255,255,255
20,0.002,255,255,255
21,3.333E-4,255,255,255
22,5.556E-5,255,255,255
23,0.003,255,255,255
24,1.667E-4,255,255,255
25,5.667E-4,255,255,255
26,0.003,255,255,255
27,2.333E-4,255,255,255
28,0.002,255,255,255
29,4.000E-4,255,255,255
30,9.778E-4,255,255,255
31,0.001,255,255,255
32,2.000E-4,255,255,255
33,2.000E-4,255,255,255
34,8.889E-5,255,255,255
35,1.333E-4,255,255,255
36,4.444E-4,255,255,255
37,5.556E-5,255,255,255
38,0.001,255,255,255
39,3.000E-4,255,255,255
40,0.001,255,255,255
41,0.002,255,255,255
42,0.003,255,255,255
43,5.333E-4,255,255,255
44,1.778E-4,255,255,255
45,3.333E-4,255,255,255
46,1.444E-4,255,255,255
47,1.333E-4,255,255,255
48,1.667E-4,255,255,255
49,3.333E-5,255,255,255
50,0.003,255,255,255
51,0.002,255,255,255
52,4.000E-4,255,255,255
53,0.002,255,255,255
54,1.222E-4,255,255,255
55,0.002,255,255,255
56,0.002,255,255,255
57,8.889E-5,255,255,255
58,1.111E-5,255,255,255
59,0.002,255,255,255
60,0.008,255,255,255
61,1.222E-4,255,255,255
62,1.111E-5,255,255,255
63,0.002,255,255,255
64,5.556E-5,255,255,255
65,1.111E-5,255,255,255
66,0.003,255,255,255
67,3.667E-4,255,255,255
68,0.002,255,255,255
69,2.333E-4,255,255,255
70,3.333E-4,255,255,255
71,0.001,255,255,255
72,1.222E-4,255,255,255
73,6.667E-5,255,255,255
74,7.778E-5,255,255,255
75,3.111E-4,255,255,255
76,0.001,255,255,255
77,0.001,255,255,255
78,2.667E-4,255,255,255
79,1.556E-4,255,255,255
80,0.009,255,255,255
81,0.001,255,255,255
82,0.002,255,255,255
83,0.002,255,255,255
84,0.001,255,255,255
85,2.556E-4,255,255,255
86,2.444E-4,255,255,255
87,1.667E-4,255,255,255
88,0.002,255,255,255
89,0.002,255,255,255
90,0.003,255,255,255
91,0.002,255,255,255
92,6.667E-4,255,255,255
93,0.005,255,255,255
94,0.003,255,255,255
95,2.222E-5,255,255,255
96,0.003,255,255,255
97,2.222E-5,255,255,255
98,0.002,255,255,255
99,0.003,255,255,255
100,0.002,255,255,255
101,0.003,255,255,255
102,4.444E-5,255,255,255
103,0.002,255,255,255
104,0.001,255,255,255
105,2.222E-5,255,255,255
106,6.667E-5,255,255,255
107,2.222E-5,255,255,255
108,2.222E-5,255,255,255
109,1.111E-5,255,255,255
110,3.333E-5,255,255,255
111,0.001,255,255,255
112,1.111E-5,255,255,255
113,0.002,255,255,255
114,2.556E-4,255,255,255
115,0.003,255,255,255
116,0.003,255,255,255
117,0.006,255,255,255
118,0.011,255,255,255
119,0.002,255,255,255
120,0.002,255,255,255
121,0.008,255,255,255
122,0.003,255,255,255
123,3.000E-4,255,255,255
124,3.333E-5,255,255,255
125,0.002,255,255,255
126,2.222E-4,255,255,255
127,0.003,255,255,255
128,2.667E-4,255,255,255
129,1.000E-4,255,255,255
130,0.003,255,255,255
131,1.778E-4,255,255,255
132,0.001,255,255,255
133,0.003,255,255,255
134,2.111E-4,255,255,255
135,0.002,255,255,255
136,0.001,255,255,255
137,2.000E-4,255,255,255
138,0.002,255,255,255
139,2.222E-5,255,255,255
140,0.003,255,255,255
141,1.111E-5,255,255,255
142,0.003,255,255,255
143,5.556E-5,255,255,255
144,7.778E-5,255,255,255
145,4.778E-4,255,255,255
146,3.667E-4,255,255,255
147,0.001,255,255,255
148,2.222E-5,255,255,255
149,0.003,255,255,255
150,0.002,255,255,255
151,0.001,255,255,255
152,1.111E-5,255,255,255
153,0.002,255,255,255
154,0.002,255,255,255
155,0.004,255,255,255
156,0.002,255,255,255
157,0.002,255,255,255
158,0.002,255,255,255
159,0.005,255,255,255
160,0.002,255,255,255
161,1.556E-4,255,255,255
162,0.002,255,255,255
163,1.111E-5,255,255,255
164,0.002,255,255,255
165,1.000E-4,255,255,255
166,5.556E-5,255,255,255
167,0.003,255,255,255
168,0.002,255,255,255
169,0.002,255,255,255
170,0.001,255,255,255
171,1.222E-4,255,255,255
172,2.556E-4,255,255,255
173,0.002,255,255,255
174,0.002,255,255,255
175,0.007,255,255,255
176,2.333E-4,255,255,255
177,4.222E-4,255,255,255
178,1.111E-5,255,255,255
179,0.002,255,255,255
180,1.111E-5,255,255,255
181,8.889E-5,255,255,255
182,3.889E-4,255,255,255
183,0.006,255,255,255
184,1.333E-4,255,255,255
185,0.002,255,255,255
186,2.333E-4,255,255,255
187,0.002,255,255,255
188,0.004,255,255,255
189,0.003,255,255,255
190,0.013,255,255,255
191,1.222E-4,255,255,255
192,1.556E-4,255,255,255
193,0.002,255,255,255
194,0.002,255,255,255
195,1.333E-4,255,255,255
196,1.000E-4,255,255,255
197,0.001,255,255,255
198,0.005,255,255,255
199,2.778E-4,255,255,255
200,3.667E-4,255,255,255
201,1.222E-4,255,255,255
202,3.556E-4,255,255,255
203,1.000E-4,255,255,255
204,0.002,255,255,255
205,0.002,255,255,255
206,0.002,255,255,255
207,1.444E-4,255,255,255
208,2.333E-4,255,255,255
209,0.002,255,255,255
210,4.444E-5,255,255,255
211,0.003,255,255,255
212,0.004,255,255,255
213,1.778E-4,255,255,255
214,1.111E-5,255,255,255
215,1.778E-4,255,255,255
216,7.222E-4,255,255,255
217,0.002,255,255,255
218,4.556E-4,255,255,255
219,1.667E-4,255,255,255
220,5.556E-5,255,255,255
221,0.002,255,255,255
222,1.000E-4,255,255,255
223,1.556E-4,255,255,255
224,1.000E-4,255,255,255
225,0.001,255,255,255
226,0.003,255,255,255
227,3.333E-4,255,255,255
228,0.002,255,255,255
229,2.111E-4,255,255,255
230,1.111E-5,255,255,255
231,0.003,255,255,255
232,2.444E-4,255,255,255
233,2.444E-4,255,255,255
234,0.002,255,255,255
235,0.005,255,255,255
236,1.111E-4,255,255,255
237,0.001,255,255,255
238,1.444E-4,255,255,255
239,9.889E-4,255,255,255
240,0.003,255,255,255
241,0.002,255,255,255
242,0.008,255,255,255
243,2.444E-4,255,255,255
244,4.000E-4,255,255,255
245,0.002,255,255,255
246,2.667E-4,255,255,255
247,1.111E-5,255,255,255
248,0.001,255,255,255
249,2.556E-4,255,255,255
250,2.222E-5,255,255,255
251,2.222E-5,255,255,255
252,1.000E-4,255,255,255
253,0.005,255,255,255
254,4.667E-4,255,255,255
255,0.001,255,255,255
256,2.222E-5,255,255,255
257,4.000E-4,255,255,255
258,1.111E-5,255,255,255
259,0.002,255,255,255
260,1.778E-4,255,255,255
261,0.017,255,255,255
262,4.444E-4,255,255,255
263,6.667E-5,255,255,255
264,6.667E-5,255,255,255
265,2.222E-5,255,255,255
266,6.667E-5,255,255,255
267,9.222E-4,255,255,255
268,1.333E-4,255,255,255
269,0.002,255,255,255
270,0.002,255,255,255
271,3.333E-5,255,255,255
272,2.222E-4,255,255,255
273,1.333E-4,255,255,255
274,0.004,255,255,255
275,0.002,255,255,255
276,3.333E-5,255,255,255
277,0.002,255,255,255
278,0.002,255,255,255
279,0.003,255,255,255
280,0.002,255,255,255
281,2.000E-4,255,255,255
282,0.001,255,255,255
283,0.002,255,255,255
284,0.001,255,255,255
285,0.002,255,255,255
286,0.001,255,255,255
287,1.111E-5,255,255,255
288,4.444E-5,255,255,255
289,1.667E-4,255,255,255
290,0.002,255,255,255
291,6.667E-4,255,255,255
292,1.333E-4,255,255,255
293,7.778E-5,255,255,255
294,2.889E-4,255,255,255
295,0.002,255,255,255
296,7.778E-5,255,255,255
297,1.556E-4,255,255,255
298,0.002,255,255,255
299,0.002,255,255,255
300,0.002,255,255,255
301,1.889E-4,255,255,255
302,1.111E-5,255,255,255
303,0.002,255,255,255
304,2.111E-4,255,255,255
305,6.778E-4,255,255,255
306,1.778E-4,255,255,255
307,2.667E-4,255,255,255
308,3.333E-4,255,255,255
309,0.001,255,255,255
310,0.007,255,255,255
311,0.004,255,255,255
312,0.001,255,255,255
313,1.778E-4,255,255,255
314,0.002,255,255,255
315,3.111E-4,255,255,255
316,0.002,255,255,255
317,3.222E-4,255,255,255
318,5.556E-5,255,255,255
319,0.003,255,255,255
320,2.222E-5,255,255,255
321,2.556E-4,255,255,255
322,0.002,255,255,255
323,2.556E-4,255,255,255
324,0.002,255,255,255
325,2.222E-5,255,255,255
326,8.889E-5,255,255,255
327,1.667E-4,255,255,255
328,0.002,255,255,255
329,1.333E-4,255,255,255
330,6.667E-5,255,255,255
331,1.333E-4,255,255,255
332,1.889E-4,255,255,255
333,1.889E-4,255,255,255
334,0.002,255,255,255
335,2.889E-4,255,255,255
336,0.002,255,255,255
337,1.778E-4,255,255,255
338,1.889E-4,255,255,255
339,0.002,255,255,255
340,1.111E-5,255,255,255
341,1.111E-5,255,255,255
342,0.003,255,255,255
343,0.001,255,255,255
344,0.002,255,255,255
345,0.002,255,255,255
346,4.444E-5,255,255,255
347,0.002,255,255,255
348,0.002,255,255,255
349,1.222E-4,255,255,255
350,8.889E-5,255,255,255
351,2.444E-4,255,255,255
352,1.111E-5,255,255,255
353,0.003,255,255,255
354,2.222E-4,255,255,255
355,4.556E-4,255,255,255
356,2.222E-5,255,255,255
357,3.333E-4,255,255,255
358,0.002,255,255,255
359,0.002,255,255,255
360,0.001,255,255,255
361,3.333E-4,255,255,255
362,0.002,255,255,255
363,0.002,255,255,255
364,0.002,255,255,255
365,0.002,255,255,255
366,1.556E-4,255,255,255
367,8.889E-5,255,255,255
368,0.002,255,255,255
369,1.444E-4,255,255,255
370,0.002,255,255,255
371,2.556E-4,255,255,255
372,1.889E-4,255,255,255
373,0.002,255,255,255
374,0.001,255,255,255
375,7.778E-5,255,255,255
376,1.333E-4,255,255,255
377,7.778E-5,255,255,255
378,1.222E-4,255,255,255
379,2.333E-4,255,255,255
